date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:24:21	5864/5864	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:20%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:21	1520/1520	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:21%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:21	18588/18588	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:21%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:22	7028/7028	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:21%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:22	9964/9964	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:22%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/500/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/500/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:23	9780/9780	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:22%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:23	6904/6904	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:23%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:23	14740/14740	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:23%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:24	1456/1456	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:23%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek-ext/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:24	12304/12304	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:24%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:25	5708/5708	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:24%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/vietnamese/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:25	18596/18596	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:25%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/700/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin/700/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:25	12276/12276	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:25%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/latin-ext/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:26	6992/6992	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:25%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/greek/900/normal.html	(from https://preskool.dreamstechnologies.com/)
05:24:26	14932/14932	---M--	200	added ('OK')	text/html	date:Tue,%2015%20Oct%202024%2012:24:26%20GMT	https://preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/900/normal.woff2	C:/Users/ABOLARIN/Downloads/website%20templates/schooladmin/preskool.dreamstechnologies.com/cf-fonts/s/roboto/5.0.11/cyrillic-ext/900/normal.html	(from https://preskool.dreamstechnologies.com/)
